,Stazione,Data inizio,Data fine,Strumento,NO2 (Biossido di azoto),Unità di misura,F1,F2,F3,F4
0,DE AMICIS,02/01/2016 23.00.00,03/01/2016,API 200E,25.0,ug/m3,,1,1,1
1,DE AMICIS,03/01/2016,03/01/2016 1.00.00,API 200E,22.0,ug/m3,,1,1,1
2,DE AMICIS,03/01/2016 1.00.00,03/01/2016 2.00.00,API 200E,17.0,ug/m3,,1,1,1
3,DE AMICIS,03/01/2016 2.00.00,03/01/2016 3.00.00,API 200E,22.0,ug/m3,,1,1,1
4,DE AMICIS,03/01/2016 3.00.00,03/01/2016 4.00.00,API 200E,22.0,ug/m3,,1,1,1
5,DE AMICIS,03/01/2016 4.00.00,03/01/2016 5.00.00,API 200E,,ug/m3,,-1,-1,-1
6,DE AMICIS,03/01/2016 5.00.00,03/01/2016 6.00.00,API 200E,16.0,ug/m3,,1,1,1
7,DE AMICIS,03/01/2016 6.00.00,03/01/2016 7.00.00,API 200E,17.0,ug/m3,,1,1,1
8,DE AMICIS,03/01/2016 7.00.00,03/01/2016 8.00.00,API 200E,17.0,ug/m3,,1,1,1
9,DE AMICIS,03/01/2016 8.00.00,03/01/2016 9.00.00,API 200E,16.0,ug/m3,,1,1,1
10,DE AMICIS,03/01/2016 9.00.00,03/01/2016 10.00.00,API 200E,18.0,ug/m3,,1,1,1
11,DE AMICIS,03/01/2016 10.00.00,03/01/2016 11.00.00,API 200E,21.0,ug/m3,,1,1,1
12,DE AMICIS,03/01/2016 11.00.00,03/01/2016 12.00.00,API 200E,22.0,ug/m3,,1,1,1
13,DE AMICIS,03/01/2016 12.00.00,03/01/2016 13.00.00,API 200E,29.0,ug/m3,,1,1,1
14,DE AMICIS,03/01/2016 13.00.00,03/01/2016 14.00.00,API 200E,34.0,ug/m3,,1,1,1
15,DE AMICIS,03/01/2016 14.00.00,03/01/2016 15.00.00,API 200E,34.0,ug/m3,,1,1,1
16,DE AMICIS,03/01/2016 15.00.00,03/01/2016 16.00.00,API 200E,34.0,ug/m3,,1,1,1
17,DE AMICIS,03/01/2016 16.00.00,03/01/2016 17.00.00,API 200E,36.0,ug/m3,,1,1,1
18,DE AMICIS,03/01/2016 17.00.00,03/01/2016 18.00.00,API 200E,45.0,ug/m3,,1,1,1
19,DE AMICIS,03/01/2016 18.00.00,03/01/2016 19.00.00,API 200E,48.0,ug/m3,,1,1,1
20,DE AMICIS,03/01/2016 19.00.00,03/01/2016 20.00.00,API 200E,51.0,ug/m3,,1,1,1
21,DE AMICIS,03/01/2016 20.00.00,03/01/2016 21.00.00,API 200E,41.0,ug/m3,,1,1,1
22,DE AMICIS,03/01/2016 21.00.00,03/01/2016 22.00.00,API 200E,31.0,ug/m3,,1,1,1
23,DE AMICIS,03/01/2016 22.00.00,03/01/2016 23.00.00,API 200E,32.0,ug/m3,,1,1,1
24,DE AMICIS,03/01/2016 23.00.00,04/01/2016,API 200E,36.0,ug/m3,,1,1,1
25,DE AMICIS,04/01/2016,04/01/2016 1.00.00,API 200E,32.0,ug/m3,,1,1,1
26,DE AMICIS,04/01/2016 1.00.00,04/01/2016 2.00.00,API 200E,29.0,ug/m3,,1,1,1
27,DE AMICIS,04/01/2016 2.00.00,04/01/2016 3.00.00,API 200E,28.0,ug/m3,,1,1,1
28,DE AMICIS,04/01/2016 3.00.00,04/01/2016 4.00.00,API 200E,30.0,ug/m3,,1,1,1
29,DE AMICIS,04/01/2016 4.00.00,04/01/2016 5.00.00,API 200E,,ug/m3,,-1,-1,-1
30,DE AMICIS,04/01/2016 5.00.00,04/01/2016 6.00.00,API 200E,31.0,ug/m3,,1,1,1
31,DE AMICIS,04/01/2016 6.00.00,04/01/2016 7.00.00,API 200E,34.0,ug/m3,,1,1,1
32,DE AMICIS,04/01/2016 7.00.00,04/01/2016 8.00.00,API 200E,32.0,ug/m3,,1,1,1
33,DE AMICIS,04/01/2016 8.00.00,04/01/2016 9.00.00,API 200E,28.0,ug/m3,,1,1,1
34,DE AMICIS,04/01/2016 9.00.00,04/01/2016 10.00.00,API 200E,30.0,ug/m3,,1,1,1
35,DE AMICIS,04/01/2016 10.00.00,04/01/2016 11.00.00,API 200E,32.0,ug/m3,,1,1,1
36,DE AMICIS,04/01/2016 11.00.00,04/01/2016 12.00.00,API 200E,31.0,ug/m3,,1,1,1
37,DE AMICIS,04/01/2016 12.00.00,04/01/2016 13.00.00,API 200E,33.0,ug/m3,,1,1,1
38,DE AMICIS,04/01/2016 13.00.00,04/01/2016 14.00.00,API 200E,36.0,ug/m3,,1,1,1
39,DE AMICIS,04/01/2016 14.00.00,04/01/2016 15.00.00,API 200E,35.0,ug/m3,,1,1,1
40,DE AMICIS,04/01/2016 15.00.00,04/01/2016 16.00.00,API 200E,37.0,ug/m3,,1,1,1
