,Stazione,Data inizio,Data fine,Strumento,PM2.5,Unità di misura,F1,F2,F3,F4
0,GIARDINI MARGHERITA,31/12/2009,01/01/2010,FAI SWAM 5A,26.0,ug/m3,,1,1,1
1,GIARDINI MARGHERITA,01/01/2010,02/01/2010,FAI SWAM 5A,33.0,ug/m3,,1,1,1
2,GIARDINI MARGHERITA,02/01/2010,03/01/2010,FAI SWAM 5A,9.0,ug/m3,,1,1,1
3,GIARDINI MARGHERITA,03/01/2010,04/01/2010,FAI SWAM 5A,5.0,ug/m3,,1,1,1
4,GIARDINI MARGHERITA,04/01/2010,05/01/2010,FAI SWAM 5A,25.0,ug/m3,,1,1,1
5,GIARDINI MARGHERITA,05/01/2010,06/01/2010,FAI SWAM 5A,29.0,ug/m3,,1,1,1
6,GIARDINI MARGHERITA,06/01/2010,07/01/2010,FAI SWAM 5A,,ug/m3,,-1,-1,-1
7,GIARDINI MARGHERITA,07/01/2010,08/01/2010,FAI SWAM 5A,53.0,ug/m3,,1,1,-1
8,GIARDINI MARGHERITA,08/01/2010,09/01/2010,FAI SWAM 5A,,ug/m3,,-1,-1,-1
9,GIARDINI MARGHERITA,09/01/2010,10/01/2010,FAI SWAM 5A,,ug/m3,,-1,-1,-1
10,GIARDINI MARGHERITA,10/01/2010,11/01/2010,FAI SWAM 5A,14.0,ug/m3,,1,1,1
11,GIARDINI MARGHERITA,11/01/2010,12/01/2010,FAI SWAM 5A,21.0,ug/m3,,1,1,1
12,GIARDINI MARGHERITA,12/01/2010,13/01/2010,FAI SWAM 5A,37.0,ug/m3,,1,1,1
13,GIARDINI MARGHERITA,13/01/2010,14/01/2010,FAI SWAM 5A,61.0,ug/m3,,1,1,1
14,GIARDINI MARGHERITA,14/01/2010,15/01/2010,FAI SWAM 5A,50.0,ug/m3,,1,1,1
15,GIARDINI MARGHERITA,15/01/2010,16/01/2010,FAI SWAM 5A,52.0,ug/m3,,1,1,1
16,GIARDINI MARGHERITA,16/01/2010,17/01/2010,FAI SWAM 5A,36.0,ug/m3,,1,1,1
17,GIARDINI MARGHERITA,17/01/2010,18/01/2010,FAI SWAM 5A,48.0,ug/m3,,1,1,1
18,GIARDINI MARGHERITA,18/01/2010,19/01/2010,FAI SWAM 5A,47.0,ug/m3,,1,1,1
19,GIARDINI MARGHERITA,19/01/2010,20/01/2010,FAI SWAM 5A,39.0,ug/m3,,1,1,1
20,GIARDINI MARGHERITA,20/01/2010,21/01/2010,FAI SWAM 5A,34.0,ug/m3,,1,1,1
21,GIARDINI MARGHERITA,21/01/2010,22/01/2010,FAI SWAM 5A,39.0,ug/m3,,1,1,1
22,GIARDINI MARGHERITA,22/01/2010,23/01/2010,FAI SWAM 5A,43.0,ug/m3,,1,1,1
23,GIARDINI MARGHERITA,23/01/2010,24/01/2010,FAI SWAM 5A,49.0,ug/m3,,1,1,1
24,GIARDINI MARGHERITA,24/01/2010,25/01/2010,FAI SWAM 5A,51.0,ug/m3,,1,1,1
25,GIARDINI MARGHERITA,25/01/2010,26/01/2010,FAI SWAM 5A,56.0,ug/m3,,1,1,1
26,GIARDINI MARGHERITA,26/01/2010,27/01/2010,FAI SWAM 5A,48.0,ug/m3,,1,1,1
27,GIARDINI MARGHERITA,27/01/2010,28/01/2010,FAI SWAM 5A,32.0,ug/m3,,1,1,1
28,GIARDINI MARGHERITA,28/01/2010,29/01/2010,FAI SWAM 5A,13.0,ug/m3,,1,1,1
29,GIARDINI MARGHERITA,29/01/2010,30/01/2010,FAI SWAM 5A,42.0,ug/m3,,1,1,1
30,GIARDINI MARGHERITA,30/01/2010,31/01/2010,FAI SWAM 5A,85.0,ug/m3,,1,1,1
31,GIARDINI MARGHERITA,31/01/2010,01/02/2010,FAI SWAM 5A,22.0,ug/m3,,1,1,1
32,GIARDINI MARGHERITA,01/02/2010,02/02/2010,FAI SWAM 5A,20.0,ug/m3,,1,1,1
33,GIARDINI MARGHERITA,02/02/2010,03/02/2010,FAI SWAM 5A,11.0,ug/m3,,1,1,1
34,GIARDINI MARGHERITA,03/02/2010,04/02/2010,FAI SWAM 5A,17.0,ug/m3,,1,1,1
35,GIARDINI MARGHERITA,04/02/2010,05/02/2010,FAI SWAM 5A,68.0,ug/m3,,1,1,1
36,GIARDINI MARGHERITA,05/02/2010,06/02/2010,FAI SWAM 5A,83.0,ug/m3,,1,1,1
37,GIARDINI MARGHERITA,06/02/2010,07/02/2010,FAI SWAM 5A,8.0,ug/m3,,1,1,-1
38,GIARDINI MARGHERITA,07/02/2010,08/02/2010,FAI SWAM 5A,,ug/m3,,-1,-1,-1
39,GIARDINI MARGHERITA,08/02/2010,09/02/2010,FAI SWAM 5A,21.0,ug/m3,,1,1,1
40,GIARDINI MARGHERITA,09/02/2010,10/02/2010,FAI SWAM 5A,42.0,ug/m3,,1,1,1
41,GIARDINI MARGHERITA,10/02/2010,11/02/2010,FAI SWAM 5A,30.0,ug/m3,,1,1,1
42,GIARDINI MARGHERITA,11/02/2010,12/02/2010,FAI SWAM 5A,14.0,ug/m3,,1,1,1
43,GIARDINI MARGHERITA,12/02/2010,13/02/2010,FAI SWAM 5A,26.0,ug/m3,,1,1,1
44,GIARDINI MARGHERITA,13/02/2010,14/02/2010,FAI SWAM 5A,22.0,ug/m3,,1,1,1
45,GIARDINI MARGHERITA,14/02/2010,15/02/2010,FAI SWAM 5A,44.0,ug/m3,,1,1,1
46,GIARDINI MARGHERITA,15/02/2010,16/02/2010,FAI SWAM 5A,68.0,ug/m3,,1,1,1
47,GIARDINI MARGHERITA,16/02/2010,17/02/2010,FAI SWAM 5A,69.0,ug/m3,,1,1,1
48,GIARDINI MARGHERITA,17/02/2010,18/02/2010,FAI SWAM 5A,45.0,ug/m3,,1,1,1
49,GIARDINI MARGHERITA,18/02/2010,19/02/2010,FAI SWAM 5A,28.0,ug/m3,,1,1,1
50,GIARDINI MARGHERITA,19/02/2010,20/02/2010,FAI SWAM 5A,20.0,ug/m3,,1,1,1
51,GIARDINI MARGHERITA,20/02/2010,21/02/2010,FAI SWAM 5A,6.0,ug/m3,,1,1,-1
52,GIARDINI MARGHERITA,21/02/2010,22/02/2010,FAI SWAM 5A,9.0,ug/m3,,1,1,1
53,GIARDINI MARGHERITA,22/02/2010,23/02/2010,FAI SWAM 5A,22.0,ug/m3,,1,1,1
54,GIARDINI MARGHERITA,23/02/2010,24/02/2010,FAI SWAM 5A,22.0,ug/m3,,1,1,1
55,GIARDINI MARGHERITA,24/02/2010,25/02/2010,FAI SWAM 5A,26.0,ug/m3,,1,1,1
56,GIARDINI MARGHERITA,25/02/2010,26/02/2010,FAI SWAM 5A,35.0,ug/m3,,1,1,1
57,GIARDINI MARGHERITA,26/02/2010,27/02/2010,FAI SWAM 5A,13.0,ug/m3,,1,1,1
58,GIARDINI MARGHERITA,27/02/2010,28/02/2010,FAI SWAM 5A,7.0,ug/m3,,1,1,1
59,GIARDINI MARGHERITA,28/02/2010,01/03/2010,FAI SWAM 5A,37.0,ug/m3,,1,1,1
60,GIARDINI MARGHERITA,01/03/2010,02/03/2010,FAI SWAM 5A,16.0,ug/m3,,1,1,1
61,GIARDINI MARGHERITA,02/03/2010,03/03/2010,FAI SWAM 5A,16.0,ug/m3,,1,1,1
62,GIARDINI MARGHERITA,03/03/2010,04/03/2010,FAI SWAM 5A,18.0,ug/m3,,1,1,1
63,GIARDINI MARGHERITA,04/03/2010,05/03/2010,FAI SWAM 5A,7.0,ug/m3,,1,1,1
64,GIARDINI MARGHERITA,05/03/2010,06/03/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
65,GIARDINI MARGHERITA,06/03/2010,07/03/2010,FAI SWAM 5A,13.0,ug/m3,,1,1,1
66,GIARDINI MARGHERITA,07/03/2010,08/03/2010,FAI SWAM 5A,11.0,ug/m3,,1,1,1
67,GIARDINI MARGHERITA,08/03/2010,09/03/2010,FAI SWAM 5A,20.0,ug/m3,,1,1,1
68,GIARDINI MARGHERITA,09/03/2010,10/03/2010,FAI SWAM 5A,17.0,ug/m3,,1,1,1
69,GIARDINI MARGHERITA,10/03/2010,11/03/2010,FAI SWAM 5A,11.0,ug/m3,,1,1,1
70,GIARDINI MARGHERITA,11/03/2010,12/03/2010,FAI SWAM 5A,24.0,ug/m3,,1,1,1
71,GIARDINI MARGHERITA,12/03/2010,13/03/2010,FAI SWAM 5A,25.0,ug/m3,,1,1,1
72,GIARDINI MARGHERITA,13/03/2010,14/03/2010,FAI SWAM 5A,29.0,ug/m3,,1,1,1
73,GIARDINI MARGHERITA,14/03/2010,15/03/2010,FAI SWAM 5A,28.0,ug/m3,,1,1,1
74,GIARDINI MARGHERITA,15/03/2010,16/03/2010,FAI SWAM 5A,35.0,ug/m3,,1,1,1
75,GIARDINI MARGHERITA,16/03/2010,17/03/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
76,GIARDINI MARGHERITA,17/03/2010,18/03/2010,FAI SWAM 5A,17.0,ug/m3,,1,1,1
77,GIARDINI MARGHERITA,18/03/2010,19/03/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
78,GIARDINI MARGHERITA,19/03/2010,20/03/2010,FAI SWAM 5A,14.0,ug/m3,,1,1,1
79,GIARDINI MARGHERITA,20/03/2010,21/03/2010,FAI SWAM 5A,16.0,ug/m3,,1,1,1
80,GIARDINI MARGHERITA,21/03/2010,22/03/2010,FAI SWAM 5A,62.0,ug/m3,,1,1,1
81,GIARDINI MARGHERITA,22/03/2010,23/03/2010,FAI SWAM 5A,37.0,ug/m3,,1,1,1
82,GIARDINI MARGHERITA,23/03/2010,24/03/2010,FAI SWAM 5A,18.0,ug/m3,,1,1,1
83,GIARDINI MARGHERITA,24/03/2010,25/03/2010,FAI SWAM 5A,25.0,ug/m3,,1,1,1
84,GIARDINI MARGHERITA,25/03/2010,26/03/2010,FAI SWAM 5A,32.0,ug/m3,,1,1,1
85,GIARDINI MARGHERITA,26/03/2010,27/03/2010,FAI SWAM 5A,16.0,ug/m3,,1,1,1
86,GIARDINI MARGHERITA,27/03/2010,28/03/2010,FAI SWAM 5A,7.0,ug/m3,,1,1,1
87,GIARDINI MARGHERITA,28/03/2010,29/03/2010,FAI SWAM 5A,7.0,ug/m3,,1,1,1
88,GIARDINI MARGHERITA,29/03/2010,30/03/2010,FAI SWAM 5A,7.0,ug/m3,,1,1,1
89,GIARDINI MARGHERITA,30/03/2010,31/03/2010,FAI SWAM 5A,6.0,ug/m3,,1,1,1
90,GIARDINI MARGHERITA,31/03/2010,01/04/2010,FAI SWAM 5A,7.0,ug/m3,,1,1,1
91,GIARDINI MARGHERITA,01/04/2010,02/04/2010,FAI SWAM 5A,4.0,ug/m3,,1,1,1
92,GIARDINI MARGHERITA,02/04/2010,03/04/2010,FAI SWAM 5A,6.0,ug/m3,,1,1,1
93,GIARDINI MARGHERITA,03/04/2010,04/04/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
94,GIARDINI MARGHERITA,04/04/2010,05/04/2010,FAI SWAM 5A,5.0,ug/m3,,1,1,1
95,GIARDINI MARGHERITA,05/04/2010,06/04/2010,FAI SWAM 5A,4.0,ug/m3,,1,1,1
96,GIARDINI MARGHERITA,06/04/2010,07/04/2010,FAI SWAM 5A,9.0,ug/m3,,1,1,1
97,GIARDINI MARGHERITA,07/04/2010,08/04/2010,FAI SWAM 5A,11.0,ug/m3,,1,1,1
98,GIARDINI MARGHERITA,08/04/2010,09/04/2010,FAI SWAM 5A,14.0,ug/m3,,1,1,1
99,GIARDINI MARGHERITA,09/04/2010,10/04/2010,FAI SWAM 5A,21.0,ug/m3,,1,1,1
100,GIARDINI MARGHERITA,10/04/2010,11/04/2010,FAI SWAM 5A,22.0,ug/m3,,1,1,1
101,GIARDINI MARGHERITA,11/04/2010,12/04/2010,FAI SWAM 5A,7.0,ug/m3,,1,1,1
102,GIARDINI MARGHERITA,12/04/2010,13/04/2010,FAI SWAM 5A,9.0,ug/m3,,1,1,1
103,GIARDINI MARGHERITA,13/04/2010,14/04/2010,FAI SWAM 5A,7.0,ug/m3,,1,1,1
104,GIARDINI MARGHERITA,14/04/2010,15/04/2010,FAI SWAM 5A,8.0,ug/m3,,1,1,1
105,GIARDINI MARGHERITA,15/04/2010,16/04/2010,FAI SWAM 5A,11.0,ug/m3,,1,1,1
106,GIARDINI MARGHERITA,16/04/2010,17/04/2010,FAI SWAM 5A,12.0,ug/m3,,1,1,1
107,GIARDINI MARGHERITA,17/04/2010,18/04/2010,FAI SWAM 5A,16.0,ug/m3,,1,1,1
108,GIARDINI MARGHERITA,18/04/2010,19/04/2010,FAI SWAM 5A,14.0,ug/m3,,1,1,1
109,GIARDINI MARGHERITA,19/04/2010,20/04/2010,FAI SWAM 5A,15.0,ug/m3,,1,1,1
110,GIARDINI MARGHERITA,20/04/2010,21/04/2010,FAI SWAM 5A,17.0,ug/m3,,1,1,1
111,GIARDINI MARGHERITA,21/04/2010,22/04/2010,FAI SWAM 5A,14.0,ug/m3,,1,1,1
